NOMBRE,DESCRIPCION
Derecho Fiscal,Se encarga de regular las normas jurídicas que permiten al estado ejercer su poder tributario con el propósito de obtener de los particulares un sufragio en el gasto público, en áreas encargadas de la consecución del bien común, organizando y clasificando toda la información, legislación y normatividad relacionada con los impuestos, lo tributario y lo fiscal.
Derecho Administrativa,Interviene para prestar asesoría jurídica y acompañamiento en los conflictos que pueda presentar la administración pública ya sean en aquellos que se dan entre la misma administración o la administración y los particulares. Es aquel que se encarga de representar al interesado por medio de distintas actuaciones jurídicas ante la jurisdicción de lo contencioso administrativo.
Derecho Laboral,Regula jurídicamente las relaciones entre empleados y empleadores en forma individual y colectiva estableciendo sus derechos y deberes recíprocos.
Derecho Civil,Conjunto de principios del derecho y normas jurídicas con el objetivo de regular todo tipo de relación personal o patrimonial de forma forzada o voluntaria entre dos par.
Derecho Familiar,Se encarga de todas los asuntos legales en torno a las relaciones familiares sean personales o patrimoniales. Se trata de un conjunto de normas y de instituciones jurídicas que tienen por objeto regular relaciones entre integrantes de una familia.
Derecho Constitucional,Actividad científica que estudia la naturaleza y los principios de la norma constituyente reguladora de la valides del orden normativo de las bases organizativas del estado y de los fenómenos políticos fundamentales de la sociedad.
Derecho Penal,Comprende las normas que regulan las conductas punibles de los habitantes aquellas que se consideran delictivas para las cuales las normas jurídicas tienen prevista una sanción. La tipicidad de las normas penales es un rasgo característico ya que para que una conducta sea susceptible de sanción penal debe coincidir con la descrita por la norma sin poder aplicarse la analogía.
Derecho Procesal,Regula la organización y las atribuciones de los tribunales de justicia y la actuación de las distintas personas que intervienen en los procesos judiciales.
Derecho Tributario,Es el conjunto de reglas normas y principios que se encargan de regular la relación jurídico-tributaria entre la administración y el contribuyente.
Derecho Comercial,Se encarga de regular la actividad de los comerciantes y sus relaciones comerciales denominadas actos de comercio.
Derecho Internacional Público,Se encarga de regular las relaciones entre Estados y organizaciones internacionales. Por consiguiente recoge valores compartidos para el mantenimiento de la paz y la cooperación y en este sentido dependerá de la normativa legal de cada Estado.
Derecho migratorio,Aquel que tiene que ver con el tránsito internacional de individuos su nacionalización los mecanismos de extranjería y el derecho de entrada salida o permanencia de ciudadanos de otros países.
Derecho internacional privado,Regula las operaciones internacionales de los individuos y reglamenta las nacionalidades y los eventuales conflictos entre marcos jurídicos diferentes.
Derecho económico,Comprende las normas que regulan la participación del Estado en la actividad económica de una sociedad para brindar certeza jurídica a los participantes de la cadena productiva en sus distintas etapas.
Derecho agrario,Regula la tenencia de tierras la explotación agropecuaria y las diversas formas de propiedad no urbana.
Derecho ecológico,Lidia con el conjunto de normas de defensa del medio ambiente y del legado ecológico de la sociedad para impedir el uso indiscriminado e irresponsable de los recursos naturales o bien la contaminación desmedida y el daño ecológico severo.
